Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.82     0.00       71     0.00     0.00  get_nb_displayed_proteins()
  0.00      2.82     0.00       64     0.00     0.00  get_element_table()
  0.00      2.82     0.00       64     0.00     0.00  get_element_table_size()
  0.00      2.82     0.00       62     0.00     0.00  free_formula(formula*)
  0.00      2.82     0.00       53     0.00     0.00  is_decoy_mode_activated()
  0.00      2.82     0.00       51     0.00     0.00  get_number_of_activated_modifications()
  0.00      2.82     0.00       51     0.00     0.00  nextEntry(long*)
  0.00      2.82     0.00       50     0.00     3.17  add_protein(char*, char*, complex*, double)
  0.00      2.82     0.00       50     0.00     4.89  real_digest(char*)
  0.00      2.82     0.00       50     0.00     0.00  get_theo_spectrum()
  0.00      2.82     0.00       50     0.00     0.00  is_a_wanted_protein()
  0.00      2.82     0.00       50     0.00     6.23  get_formulae_of_peptides(int*)
  0.00      2.82     0.00       50     0.00     0.00  save_partial_peptide_scoring(double*, int)
  0.00      2.82     0.00       50     0.00     0.00  get_current_peptide_score_save()
  0.00      2.82     0.00       50     0.00     0.00  get_current_peptide_score_size()
  0.00      2.82     0.00       50     0.00     0.01  digest()
  0.00      2.82     0.00       50     0.00     0.00  getSeq()
  0.00      2.82     0.00       50     0.00     0.00  getDesc()
  0.00      2.82     0.00       23     0.00     0.00  closest_int(double)
  0.00      2.82     0.00       23     0.00     0.00  copy_spectrum(complex*)
  0.00      2.82     0.00       23     0.00     6.80  sort_and_init_with_peptide_scoring()
  0.00      2.82     0.00       20     0.00     0.02  get_formula_from_sequence(char*)
  0.00      2.82     0.00       11     0.00     0.00  get_distribution_activation()
  0.00      2.82     0.00       10     0.00    14.09  load_string_keyword(_IO_FILE*, char const*)
  0.00      2.82     0.00       10     0.00     0.00  free_cpt(cleavePoint*)
  0.00      2.82     0.00        9     0.00     0.00  load_int_keyword(_IO_FILE*, char*)
  0.00      2.82     0.00        8     0.00     0.00  stringToCpl(char*)
  0.00      2.82     0.00        8     0.00     0.00  bitrv2(int, int*, double*)
  0.00      2.82     0.00        8     0.00     0.00  free_cplt(cleavePointList*)
  0.00      2.82     0.00        8     0.00     0.00  free_enzt(enzyme*)
  0.00      2.82     0.00        7     0.00     0.02  cftfsub(int, double*, double*)
  0.00      2.82     0.00        6     0.00     0.00  load_float_keyword(_IO_FILE*, char*)
  0.00      2.82     0.00        3     0.00     0.00  add_chains(char const*, char const*)
  0.00      2.82     0.00        3     0.00     0.00  get_base_name()
  0.00      2.82     0.00        3     0.00     0.00  is_fasta_chosen()
  0.00      2.82     0.00        2     0.00     0.00  get_maximum_mass()
  0.00      2.82     0.00        2     0.00     0.00  get_minimum_mass()
  0.00      2.82     0.00        2     0.00     0.00  load_boolean_keyword(_IO_FILE*, char*)
  0.00      2.82     0.00        2     0.00     0.00  get_maximum_peptide_length()
  0.00      2.82     0.00        2     0.00     0.00  is_exp_protein_mass_activated()
  0.00      2.82     0.00        1     0.00     0.00  enzym_load(char const*)
  0.00      2.82     0.00        1     0.00     0.00  fastafopen(char const*, long*)
  0.00      2.82     0.00        1     0.00     0.00  get_specie()
  0.00      2.82     0.00        1     0.00     0.00  fastafclose()
  0.00      2.82     0.00        1     0.00     0.00  free_tables()
  0.00      2.82     0.00        1     0.00     0.00  get_threshold()
  0.00      2.82     0.00        1     0.00     0.26  read_spectrum(char const*)
  0.00      2.82     0.00        1     0.00     0.00  formula_tochar(formula*)
  0.00      2.82     0.00        1     0.00     0.00  free_isodistrib()
  0.00      2.82     0.00        1     0.00     0.00  get_used_enzyme()
  0.00      2.82     0.00        1     0.00     0.00  ascq_me_cleaning()
  0.00      2.82     0.00        1     0.00     0.00  free_enzym_table(enzyme_list*)
  0.00      2.82     0.00        1     0.00     0.00  get_exp_spectrum()
  0.00      2.82     0.00        1     0.00     0.00  init_peptid_link(element*, int)
  0.00      2.82     0.00        1     0.00     0.00  free_peptide_link()
  0.00      2.82     0.00        1     0.00     0.00  free_element_table(element*, int)
  0.00      2.82     0.00        1     0.00     0.00  get_fasta_filename()
  0.00      2.82     0.00        1     0.00     0.00  get_gaussian_value()
  0.00      2.82     0.00        1     0.00   150.91  load_configuration(char*)
  0.00      2.82     0.00        1     0.00     0.00  load_modifications(char const*)
  0.00      2.82     0.00        1     0.00     0.00  set_peptide_charge(char const*)
  0.00      2.82     0.00        1     0.00     0.00  free_util_digestion()
  0.00      2.82     0.00        1     0.00     0.00  init_util_digestion()
  0.00      2.82     0.00        1     0.00     0.00  fprint_configuration(_IO_FILE*)
  0.00      2.82     0.00        1     0.00     0.00  get_amino_acid_table(char const*, element*, int)
  0.00      2.82     0.00        1     0.00     0.00  init_ascq_me_display()
  0.00      2.82     0.00        1     0.00     0.00  free_amino_acid_table(amino_acid_CF*)
  0.00      2.82     0.00        1     0.00     0.00  get_peptide_precision()
  0.00      2.82     0.00        1     0.00    10.00  tables_initialisation()
  0.00      2.82     0.00        1     0.00     0.00  default_peptide_charge()
  0.00      2.82     0.00        1     0.00     0.00  free_all_modifications()
  0.00      2.82     0.00        1     0.00     0.00  get_spectrum_precision()
  0.00      2.82     0.00        1     0.00     0.00  activate_full_digestion(int)
  0.00      2.82     0.00        1     0.00     0.32  fprintf_ascq_me_results(_IO_FILE*)
  0.00      2.82     0.00        1     0.00     0.00  get_nb_missed_cleavages()
  0.00      2.82     0.00        1     0.00     0.00  get_scoring_sensitivity()
  0.00      2.82     0.00        1     0.00     0.00  set_nb_missed_cleavages(int)
  0.00      2.82     0.00        1     0.00     0.00  get_peptide_maximum_mass()
  0.00      2.82     0.00        1     0.00     0.00  get_experimental_filename()
  0.00      2.82     0.00        1     0.00     0.00  get_spectrum_maximum_mass()
  0.00      2.82     0.00        1     0.00     0.00  get_activation_full_digest()
  0.00      2.82     0.00        1     0.00     0.00  get_minimum_peptide_number()
  0.00      2.82     0.00        1     0.00     0.00  free_activated_modification()
  0.00      2.82     0.00        1     0.00     0.00  ascq_me_configuration_cleaning()
  0.00      2.82     0.00        1     0.00     0.01  fprintf_ascq_me_peptide_scoring(_IO_FILE*)
  0.00      2.82     0.00        1     0.00     0.00  get_minimum_matched_peptide_number()
  0.00      2.82     0.00        1     0.00     0.00  makewt(int, int*, double*)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.35% of 2.82 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.6    0.00    2.81                 main [1]
                0.53    1.40      50/50          optimized_isotopic_distribution(formula*, int) [2]
                0.00    0.31      50/50          get_formulae_of_peptides(int*) [6]
                0.00    0.24      50/50          real_digest(char*) [7]
                0.00    0.16      50/50          add_protein(char*, char*, complex*, double) [10]
                0.00    0.15       1/1           load_configuration(char*) [12]
                0.01    0.00       1/1           fprintf_ascq_me_results_table_form(_IO_FILE*) [28]
                0.00    0.00       1/1           fprintf_ascq_me_results(_IO_FILE*) [37]
                0.00    0.00       1/1           fprintf_ascq_me_peptide_scoring(_IO_FILE*) [40]
                0.00    0.00      52/367         is_verbose_mode_activated() [74]
                0.00    0.00      51/51          nextEntry(long*) [82]
                0.00    0.00      51/53          is_decoy_mode_activated() [80]
                0.00    0.00      50/50          is_a_wanted_protein() [84]
                0.00    0.00      50/50          getSeq() [88]
                0.00    0.00      50/50          get_current_peptide_score_size() [87]
                0.00    0.00      50/50          save_partial_peptide_scoring(double*, int) [85]
                0.00    0.00      50/50          get_current_peptide_score_save() [86]
                0.00    0.00      50/50          getDesc() [89]
                0.00    0.00      50/50          get_theo_spectrum() [83]
                0.00    0.00      50/96          free_n_formula(formula*, int) [75]
                0.00    0.00       3/3           add_chains(char const*, char const*) [100]
                0.00    0.00       3/3           get_base_name() [101]
                0.00    0.00       1/1           init_ascq_me_display() [126]
                0.00    0.00       1/3           is_fasta_chosen() [102]
                0.00    0.00       1/1           fprint_configuration(_IO_FILE*) [125]
                0.00    0.00       1/1           ascq_me_configuration_cleaning() [141]
                0.00    0.00       1/1           ascq_me_cleaning() [117]
-----------------------------------------------
                0.53    1.40      50/50          main [1]
[2]     68.6    0.53    1.40      50         optimized_isotopic_distribution(formula*, int) [2]
                1.13    0.00    4400/4401        integral_normalization(double, int, complex*) [3]
                0.16    0.00 38692864/50929664     complex_multiplication(complex, complex) [8]
                0.00    0.11    4350/4357        cdft(int, int, double*, int*, double*) [16]
                0.00    0.00   56223/165741      copy_composition(composition*, int) [27]
                0.00    0.00   56223/3615144     get_weight(formula*) [20]
                0.00    0.00  560528/848528      compute_correlation(int, complex*) [56]
                0.00    0.00   56763/56763       is_equivalent_to_another(int) [63]
                0.00    0.00   56223/165836      free_composition(composition*, int) [60]
                0.00    0.00   18893/18899       get_atom_quantity(char const*) [66]
                0.00    0.00   18893/18893       get_X_atom(char*) [67]
                0.00    0.00     150/367         is_verbose_mode_activated() [74]
-----------------------------------------------
                0.00    0.00       1/4401        read_spectrum(char const*) [38]
                1.13    0.00    4400/4401        optimized_isotopic_distribution(formula*, int) [2]
[3]     40.1    1.13    0.00    4401         integral_normalization(double, int, complex*) [3]
-----------------------------------------------
                0.00    0.00   18508/24493450     get_formula_from_sequence(char*) [36]
                0.03    0.12 7979270/24493450     get_peptide_formula_from_index(int) [13]
                0.06    0.24 16495672/24493450     get_formulae_of_peptides(int*) [6]
[4]     15.9    0.09    0.36 24493450         add_formula(formula*, formula*) [4]
                0.35    0.01 81270441/81270441     add_element(formula*, composition*) [5]
-----------------------------------------------
                0.35    0.01 81270441/81270441     add_formula(formula*, formula*) [4]
[5]     12.7    0.35    0.01 81270441         add_element(formula*, composition*) [5]
                0.01    0.00  321071/806110      copy_one_element(element*) [25]
-----------------------------------------------
                0.00    0.31      50/50          main [1]
[6]     11.1    0.00    0.31      50         get_formulae_of_peptides(int*) [6]
                0.06    0.24 16495672/24493450     add_formula(formula*, formula*) [4]
                0.01    0.00 8304599/14103564     get_util_formula(char const*) [30]
                0.00    0.00   56763/109518      copy_formula(formula*) [34]
                0.00    0.00 8191073/12184947     get_amino_acid(char) [55]
                0.00    0.00   56763/83130       get_peptide_charge_formula() [62]
-----------------------------------------------
                0.00    0.24      50/50          main [1]
[7]      8.7    0.00    0.24      50         real_digest(char*) [7]
                0.14    0.03      50/50          compute_equivalent_peptides() [9]
                0.02    0.05    2276/2276        new_peptides_with_missed_cleavages(int, int*) [18]
                0.00    0.00      50/50          digest() [35]
                0.00    0.00      50/51          get_number_of_activated_modifications() [81]
-----------------------------------------------
                0.05    0.00 12236800/50929664     init_distrib() [15]
                0.16    0.00 38692864/50929664     optimized_isotopic_distribution(formula*, int) [2]
[8]      7.4    0.21    0.00 50929664         complex_multiplication(complex, complex) [8]
-----------------------------------------------
                0.14    0.03      50/50          real_digest(char*) [7]
[9]      6.2    0.14    0.03      50         compute_equivalent_peptides() [9]
                0.03    0.00  158786/185152      get_peptide_sequence(int) [22]
-----------------------------------------------
                0.00    0.16      50/50          main [1]
[10]     5.6    0.00    0.16      50         add_protein(char*, char*, complex*, double) [10]
                0.00    0.16      23/23          sort_and_init_with_peptide_scoring() [11]
                0.00    0.00   26366/109518      copy_formula(formula*) [34]
                0.00    0.00      50/71          get_nb_displayed_proteins() [76]
                0.00    0.00      36/96          free_n_formula(formula*, int) [75]
                0.00    0.00      23/23          copy_spectrum(complex*) [91]
-----------------------------------------------
                0.00    0.16      23/23          add_protein(char*, char*, complex*, double) [10]
[11]     5.5    0.00    0.16      23         sort_and_init_with_peptide_scoring() [11]
                0.00    0.15   26366/26366       get_peptide_formula_from_index(int) [13]
                0.01    0.00   26366/185152      get_peptide_sequence(int) [22]
-----------------------------------------------
                0.00    0.15       1/1           main [1]
[12]     5.4    0.00    0.15       1         load_configuration(char*) [12]
                0.00    0.14      10/10          load_string_keyword(_IO_FILE*, char const*) [14]
                0.00    0.01       1/1           tables_initialisation() [29]
                0.00    0.00       1/1           load_modifications(char const*) [44]
                0.00    0.00       1/1           init_util_digestion() [47]
                0.00    0.00      28/2559        jump_commentaries(_IO_FILE*, char) [70]
                0.00    0.00       9/9           load_int_keyword(_IO_FILE*, char*) [94]
                0.00    0.00       6/6           load_float_keyword(_IO_FILE*, char*) [99]
                0.00    0.00       2/2           load_boolean_keyword(_IO_FILE*, char*) [105]
                0.00    0.00       1/11          get_distribution_activation() [92]
-----------------------------------------------
                0.00    0.15   26366/26366       sort_and_init_with_peptide_scoring() [11]
[13]     5.3    0.00    0.15   26366         get_peptide_formula_from_index(int) [13]
                0.03    0.12 7979270/24493450     add_formula(formula*, formula*) [4]
                0.00    0.00 4016001/14103564     get_util_formula(char const*) [30]
                0.00    0.00   26366/109518      copy_formula(formula*) [34]
                0.00    0.00 3963269/12184947     get_amino_acid(char) [55]
                0.00    0.00   26366/83130       get_peptide_charge_formula() [62]
-----------------------------------------------
                0.00    0.14      10/10          load_configuration(char*) [12]
[14]     5.0    0.00    0.14      10         load_string_keyword(_IO_FILE*, char const*) [14]
                0.05    0.09       1/1           init_distrib() [15]
                0.00    0.00       1/1           read_spectrum(char const*) [38]
                0.00    0.00      10/719         read_line(_IO_FILE*) [72]
                0.00    0.00       1/1           fastafopen(char const*, long*) [109]
-----------------------------------------------
                0.05    0.09       1/1           load_string_keyword(_IO_FILE*, char const*) [14]
[15]     5.0    0.05    0.09       1         init_distrib() [15]
                0.05    0.00 12236800/50929664     complex_multiplication(complex, complex) [8]
                0.04    0.00       1/1           __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int) [23]
                0.00    0.00       7/4357        cdft(int, int, double*, int*, double*) [16]
                0.00    0.00       6/139         read_formula(char const*, element*, int) [42]
                0.00    0.00     164/367         is_verbose_mode_activated() [74]
                0.00    0.00       6/64          get_element_table_size() [78]
                0.00    0.00       6/64          get_element_table() [77]
                0.00    0.00       6/62          free_formula(formula*) [79]
-----------------------------------------------
                0.00    0.00       7/4357        init_distrib() [15]
                0.00    0.11    4350/4357        optimized_isotopic_distribution(formula*, int) [2]
[16]     3.9    0.00    0.11    4357         cdft(int, int, double*, int*, double*) [16]
                0.02    0.08    4350/4350        cftbsub(int, double*, double*) [17]
                0.01    0.00    4350/4350        bitrv2conj(int, int*, double*) [31]
                0.00    0.00       7/7           cftfsub(int, double*, double*) [39]
                0.00    0.00       7/8           bitrv2(int, int*, double*) [96]
                0.00    0.00       1/1           makewt(int, int*, double*) [143]
-----------------------------------------------
                0.02    0.08    4350/4350        cdft(int, int, double*, int*, double*) [16]
[17]     3.5    0.02    0.08    4350         cftbsub(int, double*, double*) [17]
                0.06    0.00    4350/4357        cft1st(int, double*, double*) [19]
                0.02    0.00   13050/13071       cftmdl(int, int, double*, double*) [26]
-----------------------------------------------
                0.02    0.05    2276/2276        real_digest(char*) [7]
[18]     2.5    0.02    0.05    2276         new_peptides_with_missed_cleavages(int, int*) [18]
                0.00    0.05 1858867/1858867     fusion_peptide(peptide*, peptide*) [21]
                0.00    0.00  111150/167913      free_peptide(peptide*) [59]
                0.00    0.00   54437/163311      copy_peptide(peptide*) [61]
-----------------------------------------------
                0.00    0.00       7/4357        cftfsub(int, double*, double*) [39]
                0.06    0.00    4350/4357        cftbsub(int, double*, double*) [17]
[19]     2.1    0.06    0.00    4357         cft1st(int, double*, double*) [19]
-----------------------------------------------
                0.00    0.00      10/3615144     fprintf_ascq_me_results_table_form(_IO_FILE*) [28]
                0.00    0.00     817/3615144     fprintf_ascq_me_peptide_scoring(_IO_FILE*) [40]
                0.00    0.00   10734/3615144     fprintf_ascq_me_results(_IO_FILE*) [37]
                0.00    0.00   45048/3615144     digest() [35]
                0.00    0.00   56223/3615144     optimized_isotopic_distribution(formula*, int) [2]
                0.02    0.00 1749993/3615144     fusion_peptide(peptide*, peptide*) [21]
                0.02    0.00 1752319/3615144     peptide_charge_weight() [24]
[20]     1.8    0.05    0.00 3615144         get_weight(formula*) [20]
-----------------------------------------------
                0.00    0.05 1858867/1858867     new_peptides_with_missed_cleavages(int, int*) [18]
[21]     1.8    0.00    0.05 1858867         fusion_peptide(peptide*, peptide*) [21]
                0.02    0.00 1749993/3615144     get_weight(formula*) [20]
                0.00    0.02 1749993/1752319     peptide_charge_weight() [24]
                0.00    0.00 1749993/14103564     get_util_formula(char const*) [30]
                0.00    0.00  108874/163311      copy_peptide(peptide*) [61]
-----------------------------------------------
                0.01    0.00   26366/185152      sort_and_init_with_peptide_scoring() [11]
                0.03    0.00  158786/185152      compute_equivalent_peptides() [9]
[22]     1.4    0.04    0.00  185152         get_peptide_sequence(int) [22]
-----------------------------------------------
                0.04    0.00       1/1           init_distrib() [15]
[23]     1.4    0.04    0.00       1         __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int) [23]
-----------------------------------------------
                0.00    0.00    2326/1752319     digest() [35]
                0.00    0.02 1749993/1752319     fusion_peptide(peptide*, peptide*) [21]
[24]     0.9    0.00    0.02 1752319         peptide_charge_weight() [24]
                0.02    0.00 1752319/3615144     get_weight(formula*) [20]
-----------------------------------------------
                0.00    0.00     245/806110      affect_atom(char*, int, int, composition*, element*, int) [41]
                0.01    0.00  321071/806110      add_element(formula*, composition*) [5]
                0.01    0.00  484794/806110      copy_composition(composition*, int) [27]
[25]     0.7    0.02    0.00  806110         copy_one_element(element*) [25]
                0.00    0.00  806110/806110      copy_isotop(isotop*, int) [57]
-----------------------------------------------
                0.00    0.00      21/13071       cftfsub(int, double*, double*) [39]
                0.02    0.00   13050/13071       cftbsub(int, double*, double*) [17]
[26]     0.7    0.02    0.00   13071         cftmdl(int, int, double*, double*) [26]
-----------------------------------------------
                0.00    0.00   56223/165741      optimized_isotopic_distribution(formula*, int) [2]
                0.00    0.01  109518/165741      copy_formula(formula*) [34]
[27]     0.4    0.00    0.01  165741         copy_composition(composition*, int) [27]
                0.01    0.00  484794/806110      copy_one_element(element*) [25]
-----------------------------------------------
                0.01    0.00       1/1           main [1]
[28]     0.4    0.01    0.00       1         fprintf_ascq_me_results_table_form(_IO_FILE*) [28]
                0.00    0.00      10/20          get_formula_from_sequence(char*) [36]
                0.00    0.00      10/3615144     get_weight(formula*) [20]
                0.00    0.00  288000/848528      compute_correlation(int, complex*) [56]
                0.00    0.00   28802/28802       get_step() [64]
                0.00    0.00      10/62          free_formula(formula*) [79]
                0.00    0.00       1/2           get_minimum_mass() [104]
                0.00    0.00       1/2           get_maximum_mass() [103]
                0.00    0.00       1/1           get_exp_spectrum() [119]
-----------------------------------------------
                0.00    0.01       1/1           load_configuration(char*) [12]
[29]     0.4    0.00    0.01       1         tables_initialisation() [29]
                0.01    0.00       1/1           get_element_table(char const*, int*) [32]
                0.00    0.00       1/1           get_amino_acid_table(char const*, element*, int) [43]
                0.00    0.00       1/1           init_peptid_link(element*, int) [45]
                0.00    0.00       1/64          get_element_table_size() [78]
                0.00    0.00       1/64          get_element_table() [77]
-----------------------------------------------
                0.00    0.00    9284/14103564     get_formula_from_sequence(char*) [36]
                0.00    0.00   23687/14103564     digest() [35]
                0.00    0.00 1749993/14103564     fusion_peptide(peptide*, peptide*) [21]
                0.00    0.00 4016001/14103564     get_peptide_formula_from_index(int) [13]
                0.01    0.00 8304599/14103564     get_formulae_of_peptides(int*) [6]
[30]     0.4    0.01    0.00 14103564         get_util_formula(char const*) [30]
-----------------------------------------------
                0.01    0.00    4350/4350        cdft(int, int, double*, int*, double*) [16]
[31]     0.4    0.01    0.00    4350         bitrv2conj(int, int*, double*) [31]
-----------------------------------------------
                0.01    0.00       1/1           tables_initialisation() [29]
[32]     0.4    0.01    0.00       1         get_element_table(char const*, int*) [32]
                0.00    0.00    2777/3646        read_until(_IO_FILE*, char) [68]
                0.00    0.00    2430/2559        jump_commentaries(_IO_FILE*, char) [70]
                0.00    0.00    1737/2297        jump_a_line(_IO_FILE*) [71]
                0.00    0.00     692/719         read_line(_IO_FILE*) [72]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.4    0.01    0.00                 get_element(char*, element*, int) [33]
-----------------------------------------------
                0.00    0.00       3/109518      get_amino_acid_table(char const*, element*, int) [43]
                0.00    0.00      20/109518      get_formula_from_sequence(char*) [36]
                0.00    0.00   26366/109518      get_peptide_formula_from_index(int) [13]
                0.00    0.00   26366/109518      add_protein(char*, char*, complex*, double) [10]
                0.00    0.00   56763/109518      get_formulae_of_peptides(int*) [6]
[34]     0.3    0.00    0.01  109518         copy_formula(formula*) [34]
                0.00    0.01  109518/165741      copy_composition(composition*, int) [27]
-----------------------------------------------
                0.00    0.00      50/50          real_digest(char*) [7]
[35]     0.0    0.00    0.00      50         digest() [35]
                0.00    0.00   45048/3615144     get_weight(formula*) [20]
                0.00    0.00    2326/1752319     peptide_charge_weight() [24]
                0.00    0.00   23687/14103564     get_util_formula(char const*) [30]
                0.00    0.00   55943/167913      free_peptide(peptide*) [59]
                0.00    0.00   21361/21361       cpl_isCleavage2(cleavePointList*, char, char, char) [65]
                0.00    0.00   21361/12184947     get_amino_acid(char) [55]
-----------------------------------------------
                0.00    0.00      10/20          fprintf_ascq_me_results(_IO_FILE*) [37]
                0.00    0.00      10/20          fprintf_ascq_me_results_table_form(_IO_FILE*) [28]
[36]     0.0    0.00    0.00      20         get_formula_from_sequence(char*) [36]
                0.00    0.00   18508/24493450     add_formula(formula*, formula*) [4]
                0.00    0.00    9284/14103564     get_util_formula(char const*) [30]
                0.00    0.00      20/109518      copy_formula(formula*) [34]
                0.00    0.00    9244/12184947     get_amino_acid(char) [55]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[37]     0.0    0.00    0.00       1         fprintf_ascq_me_results(_IO_FILE*) [37]
                0.00    0.00      10/20          get_formula_from_sequence(char*) [36]
                0.00    0.00   10734/3615144     get_weight(formula*) [20]
                0.00    0.00     382/382         get_peptide_score_threshold() [73]
                0.00    0.00      10/62          free_formula(formula*) [79]
                0.00    0.00       1/53          is_decoy_mode_activated() [80]
-----------------------------------------------
                0.00    0.00       1/1           load_string_keyword(_IO_FILE*, char const*) [14]
[38]     0.0    0.00    0.00       1         read_spectrum(char const*) [38]
                0.00    0.00       1/4401        integral_normalization(double, int, complex*) [3]
                0.00    0.00       1/2559        jump_commentaries(_IO_FILE*, char) [70]
                0.00    0.00       1/367         is_verbose_mode_activated() [74]
-----------------------------------------------
                0.00    0.00       7/7           cdft(int, int, double*, int*, double*) [16]
[39]     0.0    0.00    0.00       7         cftfsub(int, double*, double*) [39]
                0.00    0.00       7/4357        cft1st(int, double*, double*) [19]
                0.00    0.00      21/13071       cftmdl(int, int, double*, double*) [26]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[40]     0.0    0.00    0.00       1         fprintf_ascq_me_peptide_scoring(_IO_FILE*) [40]
                0.00    0.00     817/3615144     get_weight(formula*) [20]
-----------------------------------------------
                0.00    0.00     245/245         read_formula(char const*, element*, int) [42]
[41]     0.0    0.00    0.00     245         affect_atom(char*, int, int, composition*, element*, int) [41]
                0.00    0.00     245/806110      copy_one_element(element*) [25]
                0.00    0.00      23/23          closest_int(double) [90]
-----------------------------------------------
